"ParentContainer";"ParentContainerDN";"Xylem-TimeZone";"SiteCode";"Country"
"world.fluidtechnology.net/_AccountObjects/DEPUL1/Servers";"OU=Servers,OU=DEPUL1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";;"DEPUL1";"Germany"
"world.fluidtechnology.net/_AccountObjects/DEWLH1/Servers";"OU=Servers,OU=DEWLH1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+1";"DEWLH1";"Germany"
"world.fluidtechnology.net/_AccountObjects/DKGLS1/Servers";"OU=Servers,OU=DKGLS1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+1";"DKGLS1";"Denmark"
"world.fluidtechnology.net/_AccountObjects/ESBCN2/Servers";"OU=Servers,OU=ESBCN2,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+1";"ESBCN2";"Spain"
"world.fluidtechnology.net/_AccountObjects/ESMAD1/Servers";"OU=Servers,OU=ESMAD1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+1";"ESMAD1";"Spain"
"world.fluidtechnology.net/_AccountObjects/EXAWS1/Servers";"OU=Servers,OU=EXAWS1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";;"EXAWS1";
"world.fluidtechnology.net/_AccountObjects/FRNAN1/Servers";"OU=Servers,OU=FRNAN1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+1";"FRNAN1";"France"
"world.fluidtechnology.net/_AccountObjects/HUABO1/Servers";"OU=Servers,OU=HUABO1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+1";"HUABO1";"Hungary"
"world.fluidtechnology.net/_AccountObjects/HUBUA1/Servers";"OU=Servers,OU=HUBUA1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+1";"HUBUA1";"Hungary"
"world.fluidtechnology.net/_AccountObjects/HUCEG1/Servers";"OU=Servers,OU=HUCEG1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+1";"HUCEG1";"Hungary"
"world.fluidtechnology.net/_AccountObjects/IEDUB1/Servers";"OU=Servers,OU=IEDUB1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT";"IEDUB1";"Ireland"
"world.fluidtechnology.net/_AccountObjects/INBDQ1/Servers";"OU=Servers,OU=INBDQ1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+5.5";"INBDQ1";"India"
"world.fluidtechnology.net/_AccountObjects/INBDQ2/Servers";"OU=Servers,OU=INBDQ2,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+5.5";"INBDQ2";"India"
"world.fluidtechnology.net/_AccountObjects/INBLR1/Servers";"OU=Servers,OU=INBLR1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+5.5";"INBLR1";"India"
"world.fluidtechnology.net/_AccountObjects/INMKK1/Servers";"OU=Servers,OU=INMKK1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+5.5";"INMKK1";"India"
"world.fluidtechnology.net/_AccountObjects/ITCNW1/Servers";"OU=Servers,OU=ITCNW1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+1";"ITCNW1";"Italy"
"world.fluidtechnology.net/_AccountObjects/ITMMG1/Servers";"OU=Servers,OU=ITMMG1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+1";"ITMMG1";"Italy"
"world.fluidtechnology.net/_AccountObjects/MXCUU1/Servers";"OU=Servers,OU=MXCUU1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-6";"MXCUU1";"Mexico"
"world.fluidtechnology.net/_AccountObjects/MXCUU2/Servers";"OU=Servers,OU=MXCUU2,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-6";"MXCUU2";"Mexico"
"world.fluidtechnology.net/_AccountObjects/MXQRO1/Servers";"OU=Servers,OU=MXQRO1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-6";"MXQRO1";"Mexico"
"world.fluidtechnology.net/_AccountObjects/NLDOR1/Servers";"OU=Servers,OU=NLDOR1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+1";"NLDOR1";"Netherlands"
"world.fluidtechnology.net/_AccountObjects/NOBGO1/Servers";"OU=Servers,OU=NOBGO1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+1";"NOBGO1";"Norway"
"world.fluidtechnology.net/_AccountObjects/NOOSL1/Servers";"OU=Servers,OU=NOOSL1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+1";"NOOSL1";"Norway"
"world.fluidtechnology.net/_AccountObjects/PECLL1/Servers";"OU=Servers,OU=PECLL1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-5";"PECLL1";"Peru"
"world.fluidtechnology.net/_AccountObjects/PLSTZ1/Servers";"OU=Servers,OU=PLSTZ1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+1";"PLSTZ1";"Poland"
"world.fluidtechnology.net/_AccountObjects/PLWAW1/Servers";"OU=Servers,OU=PLWAW1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+1";"PLWAW1";"Poland"
"world.fluidtechnology.net/_AccountObjects/RUMOW1/Servers";"OU=Servers,OU=RUMOW1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+3";"RUMOW1";"Russia"
"world.fluidtechnology.net/_AccountObjects/SEEMM1/Servers";"OU=Servers,OU=SEEMM1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+1";"SEEMM1";"Sweden"
"world.fluidtechnology.net/_AccountObjects/SEEMM1/Servers/Citrix Servers";"OU=Citrix Servers,OU=Servers,OU=SEEMM1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";;;
